system:index,analysis_class,class_id,late_season_B11,late_season_B12,late_season_B2,late_season_B3,late_season_B4,late_season_B5,late_season_B6,late_season_B7,late_season_B8,late_season_B8A,late_season_EVI,late_season_LSWI,late_season_NDRE,late_season_NDVI,sample_uid,spring_growth_B11,spring_growth_B12,spring_growth_B2,spring_growth_B3,spring_growth_B4,spring_growth_B5,spring_growth_B6,spring_growth_B7,spring_growth_B8,spring_growth_B8A,spring_growth_EVI,spring_growth_LSWI,spring_growth_NDRE,spring_growth_NDVI,summer_peak_B11,summer_peak_B12,summer_peak_B2,summer_peak_B3,summer_peak_B4,summer_peak_B5,summer_peak_B6,summer_peak_B7,summer_peak_B8,summer_peak_B8A,summer_peak_EVI,summer_peak_LSWI,summer_peak_NDRE,summer_peak_NDVI,winter_establishment_B11,winter_establishment_B12,winter_establishment_B2,winter_establishment_B3,winter_establishment_B4,winter_establishment_B5,winter_establishment_B6,winter_establishment_B7,winter_establishment_B8,winter_establishment_B8A,winter_establishment_EVI,winter_establishment_LSWI,winter_establishment_NDRE,winter_establishment_NDVI,.geo
6529_0,Winter barley,2,0.3061,0.21475,0.0786,0.123,0.144,0.1996,0.2231,0.2412,0.2625,0.26205,0.1927053466073264,-0.07674524,0.13527751,0.29144976,Crop_Map_of_England_2022_Norfolk_refined_334726,0.1621,0.07735,0.0306,0.064,0.0372,0.10265,0.3133,0.41985,0.4446,0.43815,0.7366706344112988,0.45303357,0.63001275,0.85657257,0.34865,0.24275,0.1033,0.1435,0.20820001,0.25065,0.28175,0.30715,0.3308,0.3542,0.14157011703634262,-0.10042301,0.14677607,0.1905868,0.16805,0.0952,0.0379,0.078,0.04735,0.12835,0.29795,0.337,0.3547,0.3448,0.5310266218034236,0.31973153,0.4601241,0.74880046,"{""type"":""MultiPoint"",""coordinates"":[]}"
6531_0,Winter barley,2,0.2179,0.1471,0.0865,0.1171,0.1683,0.1893,0.1997,0.2191,0.2208,0.2372,0.0829723851360627,0.006610434,0.112309374,0.13492681,Crop_Map_of_England_2022_Suffolk_refined_606448,0.2055,0.1235,0.057,0.0966,0.0812,0.1367,0.306,0.3763,0.38,0.3812,0.5591367488761779,0.23722796,0.47209886,0.62633604,0.3967,0.2924,0.1108,0.159,0.2364,0.266,0.2908,0.3172,0.344,0.3547,0.15176692881601508,-0.062875904,0.12665902,0.1886269,0.1805,0.1315,0.0423,0.0678,0.07975,0.11735,0.14365,0.15455,0.16235,0.16415,0.16052809582608024,0.029569706,0.20418741,0.40903237,"{""type"":""MultiPoint"",""coordinates"":[]}"
6533_0,Winter barley,2,0.25835,0.184,0.0759,0.0972,0.1365,0.1397,0.15385,0.1765,0.2015,0.2,0.11012203189828193,-0.12137525,0.16536833,0.19276163,Crop_Map_of_England_2022_Norfolk_refined_1168426,0.1846,0.1308,0.0521,0.0815,0.0836,0.1216,0.22085,0.24405,0.26749998,0.2588,0.37684346323214507,0.13070865,0.28050098,0.45303082,0.25515,0.16825,0.0596,0.1033,0.1478,0.1837,0.2611,0.28965,0.35000002,0.3293,0.14773880952324953,0.018392658,0.24270199,0.2536198,0.0916,0.0649,0.0222,0.0302,0.029,0.052,0.0626,0.0674,0.0758,0.0742,0.10933040472841866,-0.005475021,0.2271035,0.39449543,"{""type"":""MultiPoint"",""coordinates"":[]}"
6534_0,Winter barley,2,0.22855,0.15985,0.09245,0.1049,0.11839999,0.14405,0.1893,0.2108,0.1987,0.2284,0.16223132397670714,-0.07664644,0.21478412,0.25012892,Crop_Map_of_England_2022_Norfolk_refined_848326,0.1726,0.08885,0.03585,0.06055,0.034100004,0.0976,0.33155,0.4438,0.4778,0.45415,0.7817232297266656,0.4339234,0.63390714,0.85750484,0.39255,0.2744,0.1032,0.1469,0.2193,0.2516,0.33315,0.36865,0.3854,0.42085,0.17528981729891074,-0.04252289,0.20843707,0.20999812,0.1455,0.1059,0.0375,0.0574,0.0512,0.0937,0.1584,0.1765,0.16,0.1767,0.22245247765463147,0.06810813,0.31669152,0.53710693,"{""type"":""MultiPoint"",""coordinates"":[]}"
6535_0,Winter barley,2,0.2927,0.2259,0.0888,0.115,0.1438,0.1615,0.1804,0.2051,0.2144,0.2234,0.12502663819935628,-0.15399763,0.16015524,0.19599108,Crop_Map_of_England_2022_Cambridgeshire_refined_19764,0.19825,0.1134,0.0462,0.07695,0.07105,0.1297,0.2868,0.31795,0.33,0.33855,0.4122500816560841,0.17822689,0.3850923,0.595566,0.3631,0.2643,0.1168,0.1586,0.227,0.2674,0.2774,0.3181,0.3439,0.3609,0.14016496495538538,-0.06275662,0.13646899,0.17710842,0.1973,0.1181,0.0393,0.0778,0.0759,0.1315,0.2231,0.2464,0.2519,0.2599,0.3072567901367906,0.11580481,0.3272543,0.53072625,"{""type"":""MultiPoint"",""coordinates"":[]}"
6536_0,Winter barley,2,0.36985,0.2881,0.1566,0.1888,0.2114,0.26185,0.31345,0.332,0.3198,0.352,0.19170767109435716,-0.07253767,0.14695103,0.2040691,Crop_Map_of_England_2022_Norfolk_refined_438732,0.1848,0.0981,0.0404,0.0783,0.0552,0.1252,0.329,0.3948,0.3968,0.4082,0.5861025030878115,0.33424753,0.5305587,0.7515752,0.2508,0.147,0.08155,0.1269,0.1922,0.25035,0.31445,0.3458,0.374,0.4062,0.16633419269526156,0.0040312908,0.17262961,0.23668289,0.17135,0.0941,0.0481,0.08815,0.0626,0.14025,0.30815,0.33515,0.338,0.3438,0.49945859777600254,0.27098656,0.38602942,0.6659753,"{""type"":""MultiPoint"",""coordinates"":[]}"
6538_0,Winter barley,2,0.3015,0.23575,0.0905,0.1118,0.1433,0.1621,0.1807,0.1983,0.21270001,0.22405,0.12416650970876712,-0.17496331,0.16385745,0.19487137,Crop_Map_of_England_2022_Suffolk_refined_784837,0.2279,0.1475,0.0573,0.086,0.0917,0.1426,0.2474,0.2709,0.3082,0.287,0.36567140150428445,0.08635376,0.29247084,0.49723756,0.31055,0.2371,0.0593,0.08085,0.1115,0.12525,0.16435,0.1846,0.2017,0.22485,0.1364117133168616,-0.24156538,0.2280466,0.25479838,0.1697,0.1145,0.0507,0.0753,0.0773,0.1166,0.1504,0.1637,0.192,0.1852,0.23045763288196386,0.066174194,0.2391089,0.43249702,"{""type"":""MultiPoint"",""coordinates"":[]}"
6540_0,Winter barley,2,0.24375,0.19295,0.1128,0.1265,0.14739999,0.17055,0.17765,0.1924,0.1895,0.2048,0.08769720071922885,-0.12129503,0.08922451,0.12579139,Crop_Map_of_England_2022_Norfolk_refined_483899,0.25645,0.19595,0.07615,0.1056,0.1082,0.15795,0.25145,0.2679,0.278,0.2811,0.29245754315485206,0.022809282,0.23431703,0.39554405,0.2493,0.1787,0.0808,0.1139,0.1468,0.19445,0.24765,0.28755,0.3053,0.3202,0.3274326022803933,0.053906273,0.17050877,0.27109706,0.1761,0.1313,0.0544,0.074,0.0976,0.1216,0.1315,0.1398,0.1528,0.1581,0.09922014923519533,-0.078307845,0.124419205,0.20730594,"{""type"":""MultiPoint"",""coordinates"":[]}"
6541_0,Winter barley,2,0.298,0.1971,0.1086,0.1526,0.172,0.2263,0.3038,0.3258,0.3292,0.3443,0.2540893357004059,0.049744897,0.20679986,0.31364724,Crop_Map_of_England_2022_Cambridgeshire_refined_700221,0.1467,0.06695,0.0219,0.05215,0.03045,0.08225,0.3153,0.4246,0.43699998,0.44415,0.699203318440645,0.49756044,0.6875297,0.86962473,0.3766,0.271,0.1208,0.1756,0.2556,0.2947,0.3171,0.3415,0.3761,0.3829,0.1591594489150547,-0.013838825,0.1431557,0.1907551,0.1775,0.1013,0.031,0.0714,0.04,0.1144,0.269,0.3121,0.3342,0.3202,0.5760660723200612,0.34284788,0.525125,0.8138399,"{""type"":""MultiPoint"",""coordinates"":[]}"
6542_0,Winter barley,2,0.3134,0.2449,0.1058,0.134,0.1498,0.1852,0.2313,0.2607,0.2664,0.2805,0.21251003263650636,-0.08106242,0.20463818,0.28015378,Crop_Map_of_England_2022_Cambridgeshire_refined_712903,0.1755,0.0905,0.035,0.0702,0.0412,0.1103,0.3269,0.4267,0.456,0.4395,0.6946424179922629,0.37461966,0.5491717,0.80620885,0.234,0.17365,0.0831,0.1129,0.153,0.19275,0.2748,0.29075,0.33139998,0.32895,0.1399070099677288,-0.017971825,0.14235434,0.19882397,0.15395,0.0967,0.03965,0.07235,0.04935,0.1113,0.23205,0.2564,0.25849998,0.26645,0.4183592668570245,0.21883067,0.40766084,0.68028075,"{""type"":""MultiPoint"",""coordinates"":[]}"
