setting_id,n_estimators,max_features,min_samples_leaf,class_weight,overall_agreement_s1s2,balanced_accuracy_s1s2,macro_f1_s1s2,weighted_f1_s1s2,overall_agreement_s2_only,balanced_accuracy_s2_only,macro_f1_s2_only,weighted_f1_s2_only,overall_agreement_delta,s1s2_better_overall_agreement,balanced_accuracy_delta,s1s2_better_balanced_accuracy,macro_f1_delta,s1s2_better_macro_f1,weighted_f1_delta,s1s2_better_weighted_f1
rf_26,800,sqrt,1,balanced_subsample,0.7887405687753918,0.7888262576429179,0.7893647937485384,0.7892961344770364,0.7138711549622752,0.713458944112811,0.7141946960266738,0.7144193585537639,0.07486941381311663,True,0.07536731353010695,True,0.07517009772186456,True,0.07487677592327247,True
rf_27,800,sqrt,3,balanced,0.7840975043528728,0.7842688061747729,0.7848306046558642,0.7847135562371969,0.7074869413813116,0.70690145102476,0.7072257943604994,0.7075376210439354,0.07661056297156121,True,0.07736735515001292,True,0.07760481029536481,True,0.07717593519326149,True
rf_28,800,sqrt,3,balanced_subsample,0.7893209518282066,0.7894157944084311,0.7897787263582449,0.7897688310267292,0.709808473592571,0.7093544153582401,0.7094109967782292,0.7096561555852589,0.07951247823563556,True,0.08006137905019106,True,0.0803677295800157,True,0.08011267544147038,True
rf_29,800,sqrt,5,balanced,0.783517121300058,0.7836566849421164,0.7843123301700964,0.7842589949326435,0.7005223447475334,0.6999512265704504,0.7000664649569788,0.7003410389720933,0.08299477655252463,True,0.08370545837166599,True,0.08424586521311761,True,0.08391795596055018,True
rf_30,800,sqrt,5,balanced_subsample,0.7829367382472432,0.7830439155886999,0.7839673266171848,0.7839224618947545,0.7051654091700522,0.7046064254618251,0.7042729242537956,0.7045815553871013,0.07777132907719098,True,0.07843749012687484,True,0.0796944023633892,True,0.07934090650765313,True
rf_31,800,log2,1,balanced,0.7904817179338364,0.7905574246008151,0.7911005006712738,0.7910160932680761,0.7121300058038306,0.7116847585558768,0.7125181196027728,0.7127104762098657,0.0783517121300058,True,0.07887266604493837,True,0.07858238106850102,True,0.07830561705821037,True
rf_32,800,log2,1,balanced_subsample,0.787579802669762,0.7876237072017298,0.7878720982073745,0.7877939191838289,0.7161926871735346,0.7157090485164248,0.7165277554426872,0.7167416086063354,0.07138711549622745,True,0.071914658685305,True,0.07134434276468726,True,0.0710523105774935,True
rf_33,800,log2,3,balanced,0.7869994196169472,0.7870959074493906,0.7876170606452318,0.7875143706861223,0.705745792222867,0.7053652720135863,0.7053482100863813,0.7055594575295268,0.08125362739408015,True,0.08173063543580428,True,0.08226885055885058,True,0.08195491315659553,True
rf_34,800,log2,3,balanced_subsample,0.788160185722577,0.7882494927065476,0.788892129280088,0.7888197683012157,0.7051654091700522,0.7046943511440388,0.7047462424675205,0.7049489023466232,0.08299477655252474,True,0.08355514156250887,True,0.08414588681256752,True,0.08387086595459248,True
rf_35,800,log2,5,balanced,0.7858386535113174,0.7859378125522141,0.7865790564097231,0.7865167400736017,0.702263493905978,0.7018876543713284,0.7020393321533279,0.7021512830857218,0.08357515960533946,True,0.08405015818088568,True,0.08453972425639522,True,0.0843654569878799,True
rf_36,800,log2,5,balanced_subsample,0.7864190365641324,0.7865360618327849,0.78739875095284,0.7873308124015584,0.7011027278003482,0.7006112004493942,0.7007474317364043,0.7009822220549965,0.08531630876378415,True,0.08592486138339073,True,0.08665131921643565,True,0.08634859034656195,True
