setting_id,n_estimators,max_features,min_samples_leaf,class_weight,class,f1_score_s1s2,user_accuracy_s1s2,producer_accuracy_s1s2,support_s1s2,f1_score_s2_only,user_accuracy_s2_only,producer_accuracy_s2_only,support_s2_only,f1_score_delta,user_accuracy_delta,producer_accuracy_delta
rf_05,300,sqrt,5,balanced,Winter barley,0.7855530474040632,0.7802690582959642,0.7909090909090909,220.0,0.7442922374429224,0.7477064220183486,0.740909090909091,220.0,0.04126080996114079,0.032562636277615575,0.04999999999999993
rf_05,300,sqrt,5,balanced,Spring barley,0.8409090909090909,0.8447488584474886,0.8371040723981901,221.0,0.7530864197530864,0.690566037735849,0.8280542986425339,221.0,0.0878226711560045,0.15418282071163958,0.009049773755656187
rf_05,300,sqrt,5,balanced,Beet (sugar beet / fodder beet),0.8306997742663657,0.8363636363636363,0.8251121076233184,223.0,0.7673860911270983,0.8247422680412371,0.7174887892376681,223.0,0.06331368313926733,0.01162136832239924,0.10762331838565031
rf_05,300,sqrt,5,balanced,Maize,0.6802721088435374,0.6696428571428571,0.6912442396313364,217.0,0.6169772256728778,0.5601503759398496,0.6866359447004609,217.0,0.06329488317065957,0.10949248120300747,0.004608294930875556
rf_05,300,sqrt,5,balanced,Oilseed rape,0.8952380952380953,0.8826291079812206,0.9082125603864735,207.0,0.8170426065162907,0.8489583333333334,0.7874396135265701,207.0,0.0781954887218046,0.03367077464788726,0.12077294685990336
rf_05,300,sqrt,5,balanced,Potatoes,0.784503631961259,0.81,0.7605633802816901,213.0,0.685,0.732620320855615,0.6431924882629108,213.0,0.099503631961259,0.07737967914438504,0.11737089201877937
rf_05,300,sqrt,5,balanced,Pulses / field beans and peas,0.6621315192743764,0.6375545851528385,0.6886792452830188,212.0,0.49238578680203043,0.532967032967033,0.45754716981132076,212.0,0.16974573247234598,0.10458755218580551,0.23113207547169806
rf_06,300,sqrt,5,balanced_subsample,Winter wheat,0.800982800982801,0.8274111675126904,0.7761904761904762,210.0,0.7373271889400922,0.7142857142857143,0.7619047619047619,210.0,0.06365561204270875,0.11312545322697609,0.014285714285714346
rf_06,300,sqrt,5,balanced_subsample,Winter barley,0.7835990888382688,0.7853881278538812,0.7818181818181819,220.0,0.7402298850574712,0.7488372093023256,0.7318181818181818,220.0,0.04336920378079756,0.03655091855155568,0.050000000000000044
rf_06,300,sqrt,5,balanced_subsample,Spring barley,0.8423423423423423,0.8385650224215246,0.8461538461538461,221.0,0.7583333333333333,0.7027027027027027,0.8235294117647058,221.0,0.08400900900900898,0.1358623197188219,0.022624434389140302
rf_06,300,sqrt,5,balanced_subsample,Beet (sugar beet / fodder beet),0.832183908045977,0.8537735849056604,0.8116591928251121,223.0,0.7725118483412322,0.8190954773869347,0.7309417040358744,223.0,0.05967205970474476,0.03467810751872569,0.08071748878923768
rf_06,300,sqrt,5,balanced_subsample,Maize,0.6921348314606741,0.6754385964912281,0.7096774193548387,217.0,0.6173361522198731,0.5703125,0.6728110599078341,217.0,0.07479867924080097,0.10512609649122806,0.03686635944700467
rf_06,300,sqrt,5,balanced_subsample,Oilseed rape,0.8947368421052632,0.8862559241706162,0.9033816425120773,207.0,0.8188585607940446,0.8418367346938775,0.7971014492753623,207.0,0.07587828131121854,0.04441918947673862,0.106280193236715
rf_06,300,sqrt,5,balanced_subsample,Potatoes,0.780952380952381,0.7922705314009661,0.7699530516431925,213.0,0.6882793017456359,0.7340425531914894,0.647887323943662,213.0,0.09267307920674506,0.05822797820947678,0.1220657276995305
rf_06,300,sqrt,5,balanced_subsample,Pulses / field beans and peas,0.6438356164383562,0.6238938053097345,0.6650943396226415,212.0,0.5125628140703518,0.5483870967741935,0.4811320754716981,212.0,0.13127280236800443,0.07550670853554098,0.1839622641509434
rf_07,300,log2,1,balanced,Winter wheat,0.7970660146699267,0.8190954773869347,0.7761904761904762,210.0,0.7429906542056075,0.7293577981651376,0.7571428571428571,210.0,0.054075360464319155,0.0897376792217971,0.01904761904761909
rf_07,300,log2,1,balanced,Winter barley,0.7862068965517242,0.7953488372093023,0.7772727272727272,220.0,0.75,0.7641509433962265,0.7363636363636363,220.0,0.036206896551724155,0.031197893813075805,0.040909090909090895
rf_07,300,log2,1,balanced,Spring barley,0.8295964125560538,0.8222222222222222,0.8371040723981901,221.0,0.7584745762711864,0.7131474103585658,0.8099547511312217,221.0,0.07112183628486735,0.10907481186365642,0.02714932126696834
rf_07,300,log2,1,balanced,Beet (sugar beet / fodder beet),0.8243243243243243,0.8280542986425339,0.820627802690583,223.0,0.7757009345794392,0.8097560975609757,0.7443946188340808,223.0,0.048623389744885115,0.01829820108155822,0.07623318385650224
rf_07,300,log2,1,balanced,Maize,0.6846846846846847,0.6696035242290749,0.7004608294930875,217.0,0.6252676659528907,0.584,0.6728110599078341,217.0,0.05941701873179395,0.08560352422907491,0.027649769585253448
rf_07,300,log2,1,balanced,Oilseed rape,0.9033816425120773,0.9033816425120773,0.9033816425120773,207.0,0.8220551378446115,0.8541666666666666,0.7922705314009661,207.0,0.08132650466746583,0.04921497584541068,0.11111111111111116
rf_07,300,log2,1,balanced,Potatoes,0.7883211678832117,0.8181818181818182,0.7605633802816901,213.0,0.6700251889168766,0.7228260869565217,0.6244131455399061,213.0,0.11829597896633515,0.0953557312252965,0.136150234741784
rf_07,300,log2,1,balanced,Pulses / field beans and peas,0.6636568848758465,0.6363636363636364,0.6933962264150944,212.0,0.5390070921985816,0.5402843601895735,0.5377358490566038,212.0,0.12464979267726495,0.09607927617406287,0.1556603773584906
rf_08,300,log2,1,balanced_subsample,Winter wheat,0.794044665012407,0.8290155440414507,0.7619047619047619,210.0,0.7488372093023256,0.7318181818181818,0.7666666666666667,210.0,0.045207455710081446,0.09719736222326891,-0.004761904761904856
rf_08,300,log2,1,balanced_subsample,Winter barley,0.7755102040816326,0.7737556561085973,0.7772727272727272,220.0,0.7614678899082569,0.7685185185185185,0.7545454545454545,220.0,0.014042314173375758,0.005237137590078822,0.022727272727272707
rf_08,300,log2,1,balanced_subsample,Spring barley,0.8355555555555556,0.8209606986899564,0.8506787330316742,221.0,0.7574468085106383,0.714859437751004,0.8054298642533937,221.0,0.07810874704491733,0.10610126093895234,0.04524886877828049
rf_08,300,log2,1,balanced_subsample,Beet (sugar beet / fodder beet),0.8269662921348314,0.8288288288288288,0.8251121076233184,223.0,0.7681498829039812,0.803921568627451,0.7354260089686099,223.0,0.058816409230850186,0.02490726020137779,0.08968609865470856
rf_08,300,log2,1,balanced_subsample,Maize,0.708803611738149,0.6946902654867256,0.7235023041474654,217.0,0.6223175965665236,0.5823293172690763,0.6682027649769585,217.0,0.08648601517162535,0.1123609482176493,0.055299539170506895
rf_08,300,log2,1,balanced_subsample,Oilseed rape,0.8995215311004785,0.8909952606635071,0.9082125603864735,207.0,0.8140703517587939,0.8481675392670157,0.782608695652174,207.0,0.08545117934168456,0.04282772139649138,0.12560386473429952
rf_08,300,log2,1,balanced_subsample,Potatoes,0.7903614457831325,0.8118811881188119,0.7699530516431925,213.0,0.6915422885572139,0.7354497354497355,0.6525821596244131,213.0,0.09881915722591861,0.07643145266907647,0.11737089201877937
rf_08,300,log2,1,balanced_subsample,Pulses / field beans and peas,0.654292343387471,0.6438356164383562,0.6650943396226415,212.0,0.5467625899280576,0.5560975609756098,0.5377358490566038,212.0,0.1075297534594134,0.08773805546274638,0.12735849056603776
rf_09,300,log2,3,balanced,Winter wheat,0.7921760391198044,0.8140703517587939,0.7714285714285715,210.0,0.7259953161592506,0.7142857142857143,0.7380952380952381,210.0,0.06618072296055377,0.09978463747307964,0.033333333333333326
rf_09,300,log2,3,balanced,Winter barley,0.7844036697247706,0.7916666666666666,0.7772727272727272,220.0,0.7289293849658315,0.730593607305936,0.7272727272727273,220.0,0.05547428475893912,0.0610730593607306,0.04999999999999993
rf_09,300,log2,3,balanced,Spring barley,0.8423423423423423,0.8385650224215246,0.8461538461538461,221.0,0.7653276955602537,0.7182539682539683,0.8190045248868778,221.0,0.07701464678208858,0.12031105416755639,0.02714932126696834
rf_09,300,log2,3,balanced,Beet (sugar beet / fodder beet),0.8246013667425968,0.8379629629629629,0.8116591928251121,223.0,0.7710280373831776,0.8048780487804879,0.7399103139013453,223.0,0.053573329359419164,0.033084914182475056,0.0717488789237668
rf_09,300,log2,3,balanced,Maize,0.6801801801801802,0.6651982378854625,0.695852534562212,217.0,0.6140724946695096,0.5714285714285714,0.663594470046083,217.0,0.06610768551067059,0.09376966645689111,0.032258064516129004
rf_09,300,log2,3,balanced,Oilseed rape,0.8926014319809069,0.8820754716981132,0.9033816425120773,207.0,0.7950617283950617,0.8131313131313131,0.7777777777777778,207.0,0.09753970358584518,0.06894415856680003,0.12560386473429952
rf_09,300,log2,3,balanced,Potatoes,0.7836538461538461,0.8029556650246306,0.7652582159624414,213.0,0.681704260651629,0.7311827956989247,0.6384976525821596,213.0,0.10194958550221711,0.07177286932570581,0.12676056338028174
rf_09,300,log2,3,balanced,Pulses / field beans and peas,0.6651480637813212,0.6431718061674009,0.6886792452830188,212.0,0.5172413793103449,0.5412371134020618,0.49528301886792453,212.0,0.14790668447097632,0.10193469276533906,0.1933962264150943
rf_10,300,log2,3,balanced_subsample,Winter wheat,0.8077858880778589,0.8258706467661692,0.7904761904761904,210.0,0.7319347319347319,0.7168949771689498,0.7476190476190476,210.0,0.07585115614312699,0.10897566959721938,0.042857142857142816
rf_10,300,log2,3,balanced_subsample,Winter barley,0.7972350230414746,0.8084112149532711,0.7863636363636364,220.0,0.7310344827586207,0.7395348837209302,0.7227272727272728,220.0,0.06620054028285394,0.06887633123234083,0.0636363636363636
rf_10,300,log2,3,balanced_subsample,Spring barley,0.8385650224215246,0.8311111111111111,0.8461538461538461,221.0,0.7605042016806722,0.7098039215686275,0.8190045248868778,221.0,0.07806082074085241,0.12130718954248365,0.02714932126696834
