class,user_accuracy,producer_accuracy,f1_score,support,setting_id,n_estimators,max_features,min_samples_leaf,class_weight,model,reference_note
Pulses / field beans and peas,0.6260869565217392,0.6792452830188679,0.6515837104072398,212.0,rf_03,300,sqrt,3,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Winter wheat,0.7235023041474654,0.7476190476190476,0.7353629976580797,210.0,rf_04,300,sqrt,3,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Winter barley,0.7321428571428571,0.7454545454545455,0.7387387387387387,220.0,rf_04,300,sqrt,3,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Spring barley,0.7063492063492064,0.8054298642533937,0.7526427061310782,221.0,rf_04,300,sqrt,3,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Beet (sugar beet / fodder beet),0.8109452736318408,0.7309417040358744,0.7688679245283019,223.0,rf_04,300,sqrt,3,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Maize,0.5593869731800766,0.6728110599078341,0.6108786610878661,217.0,rf_04,300,sqrt,3,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Oilseed rape,0.8489583333333334,0.7874396135265701,0.8170426065162907,207.0,rf_04,300,sqrt,3,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Potatoes,0.7472527472527473,0.6384976525821596,0.6886075949367089,213.0,rf_04,300,sqrt,3,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Pulses / field beans and peas,0.5567010309278351,0.5094339622641509,0.5320197044334976,212.0,rf_04,300,sqrt,3,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Winter wheat,0.8232323232323232,0.7761904761904762,0.7990196078431373,210.0,rf_04,300,sqrt,3,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Winter barley,0.8018433179723502,0.7909090909090909,0.7963386727688787,220.0,rf_04,300,sqrt,3,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Spring barley,0.8444444444444444,0.8597285067873304,0.852017937219731,221.0,rf_04,300,sqrt,3,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Beet (sugar beet / fodder beet),0.8264840182648402,0.8116591928251121,0.8190045248868778,223.0,rf_04,300,sqrt,3,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
