grid_id,grid_area_ha,selected_crop_area_ha,selected_crop_intensity,retained_for_clustering,prop_winter_wheat,prop_winter_barley,prop_spring_barley,prop_beet_sugar_beet___fodder_beet,prop_maize,prop_oilseed_rape,prop_potatoes,prop_pulses___field_beans_and_peas
g0030,10000.0,5704.661533582466,0.5704661533582466,True,0.47594646127620965,0.06668806317644159,0.07556136238212847,0.05840325005134223,0.046529465709005985,0.09046007005934367,0.03757009000558202,0.14884123733994642
g0031,9995.635239873554,5134.231934495343,0.513647388213447,True,0.489172269789287,0.06135652386379893,0.09801387454844311,0.09602160039696517,0.03292209635160194,0.03309336716555072,0.07320783577159472,0.11621243211275817
g0032,8708.436672061216,5899.820424273084,0.677483301130402,True,0.4825168943473609,0.06089970047551019,0.08976331047057695,0.07936421504555394,0.04009220043620833,0.09582922157503761,0.042435502867060125,0.10909895478269194
g0037,221.71389100706008,179.924087961801,0.8115147280333087,False,0.4840979512100431,0.0,0.2545262300877966,0.06949859334141227,0.0,0.0,0.0,0.19187722536074797
g0038,9021.358159497786,5997.774737423308,0.6648416603556289,True,0.5913681316102544,0.14605331404897473,0.0760961389903576,0.043800194151017414,0.00033783637352847285,0.04748163741878872,0.00974886820698881,0.08511387920009009
g0039,10000.0,5951.472990478768,0.5951472990478768,True,0.5864292467684841,0.11275054676854826,0.06632604895424961,0.0,0.0,0.17138201858372307,0.0,0.06311213892499504
g0040,10000.0,5777.107098953869,0.577710709895387,True,0.5264480430111177,0.10803937357395174,0.1019294291414567,0.009680935045047275,0.008352487170972872,0.12567535340396122,0.0,0.11987437865349237
g0041,9980.836567746248,4195.218292162476,0.42032732062957623,True,0.5897745518697181,0.056979441988491114,0.15634614955703796,0.0007356703519112752,0.018476936866988515,0.10319687354207727,0.01960345014805272,0.05488692567572306
g0042,10000.0,7676.223104801139,0.7676223104801139,True,0.5403637794482458,0.054063762309543933,0.09501283134283837,0.08269170461471649,0.054174822126987925,0.035546504819810615,0.061568348731063545,0.07657824660679327
g0043,10000.0,7909.444930915189,0.7909444930915188,True,0.5027571687674396,0.05470709240471118,0.0656254984172725,0.1117371889639221,0.04670491853547667,0.03769480976833807,0.06408598050859174,0.11668734263424808
g0044,9585.72370179426,7167.272518905469,0.74770280699452,True,0.5248365421715422,0.03909867071982518,0.0745361442169417,0.05585283471029649,0.11216584977259803,0.10156644084302732,0.024294009093323573,0.06764950847244539
g0045,1047.2353006856144,598.8986749987819,0.5718854918342505,True,0.5024182505572029,0.1628082956976292,0.005617576375599799,0.07945517616116389,0.029003022062557327,0.0023607873568604405,0.06958400850718581,0.14875288328180059
g0049,901.9316932549028,548.0610116523293,0.6076524594390065,True,0.6571475276222638,0.12320988088096824,0.03233794955683967,0.0,0.0,0.15779338914360244,0.0,0.029511252796325847
g0050,9012.522226270223,5301.136026232075,0.5881967215326267,True,0.5666199772185452,0.10454275987153486,0.08159998639103365,0.08804694214735354,0.0,0.039069350574713224,0.03446938568016622,0.08565159811665315
g0051,10000.0,3554.5131233578645,0.3554513123357865,True,0.4958047378762506,0.11828120228879842,0.06679700820202321,0.07462656365244956,0.014171221322870868,0.12676277196960803,0.009315485408117606,0.0942410092798817
g0052,10000.0,3754.7302271769795,0.37547302271769795,True,0.5017177930698001,0.24291629765547745,0.09660007582712711,0.022124465734775375,0.031785889408788535,0.03321713542829767,0.0,0.07163834287573377
g0053,9985.77899432763,5686.653582610594,0.5694752092792028,True,0.5806165214460967,0.0486153849592667,0.05793679488290142,0.05374547180058615,0.06724295776525811,0.015230580572999843,0.05890141093392637,0.11771087763896486
g0054,9978.128289827286,5301.71447083115,0.5313335644557963,True,0.4686872781339983,0.04972894193636612,0.03655770419477136,0.1693385602474326,0.12440027585298943,0.012636877852009879,0.08499577357453252,0.053654588207899645
g0055,10000.0,6435.838309372205,0.6435838309372205,True,0.5014424605272522,0.03787531722382893,0.056498273461428154,0.09734315298577467,0.11194900535080508,0.03925705202688792,0.07445267618274726,0.08118206224127596
g0056,9974.358888561434,5727.989268378728,0.5742714225921397,True,0.4813298896532039,0.0488761164228561,0.0874911824303637,0.13373111173164226,0.057671402418584095,0.042712143937265294,0.09805274323686611,0.05013541016921863
g0057,7526.468845268139,3958.908755635681,0.5259981589008544,True,0.6017410174622335,0.05275324562194256,0.05104855088528376,0.09406221285653919,0.022859832577587294,0.012638101432277908,0.10325678556416147,0.06164025359997437
g0062,4769.339420246117,2761.98584608992,0.5791128713475776,True,0.5484270517931457,0.12720249027716019,0.11299481817006754,0.046787147328297626,0.0,0.07430156929593763,0.0,0.0902869231353912
g0063,10000.0,6486.178882339001,0.6486178882339001,True,0.48424280630386524,0.18101003416448191,0.13240939974458374,0.09491272465814034,0.007228851615969416,0.027739705005730954,0.0025309824773587187,0.06992549602986971
g0064,10000.0,5484.15586793618,0.548415586793618,True,0.5086064890520671,0.10700575065272698,0.07851757436385128,0.12482672463510588,0.030458598423909106,0.0216670259687708,0.07097413574481952,0.057943701158749236
g0065,10000.0,5192.569321172789,0.519256932117279,True,0.5071692828529388,0.1277558119765857,0.037275873516633105,0.07342277948522737,0.08832096355390896,0.03992069143801489,0.0741793178124527,0.0519552793642386
g0066,9995.485687485228,6356.502217292755,0.6359373037021467,True,0.49960583313964074,0.0409801419588309,0.04222862676913065,0.1690368201920791,0.061612915159654294,0.018618135863026554,0.1225030043575431,0.04541452256009451
g0067,9965.99363397574,7219.5898596608395,0.7244224835793642,True,0.5908742446597989,0.01996418986382241,0.020980376129187555,0.11728140589396095,0.03883574114327793,0.06096619296992697,0.11293586657323218,0.03816198276679303
g0068,9970.379247836065,6604.400348855886,0.6624021197878989,True,0.49805521933997143,0.05857834083340982,0.11186804020285983,0.10600071303504062,0.05474045923723642,0.011933668019172172,0.061128292264222034,0.09769526706808768
