grid_id,grid_area_ha,area_winter_wheat_ha,area_winter_barley_ha,area_spring_barley_ha,area_beet_sugar_beet___fodder_beet_ha,area_maize_ha,area_oilseed_rape_ha,area_potatoes_ha,area_pulses___field_beans_and_peas_ha,selected_crop_area_ha,selected_crop_intensity,prop_winter_wheat,prop_winter_barley,prop_spring_barley,prop_beet_sugar_beet___fodder_beet,prop_maize,prop_oilseed_rape,prop_potatoes,prop_pulses___field_beans_and_peas,retained_for_clustering
g0086,5933.815780303773,2168.1454352478,531.235282082801,331.4589639217807,36.584750887261166,37.353554746938755,392.67485702239117,0.0,313.1504801349736,3810.6033240439465,0.6421842984564088,0.5689769442983867,0.13940975664689112,0.08698332934062127,0.009600776511273322,0.009802530352935778,0.10304794900710651,0.0,0.0821787138427852,True
g0087,10000.0,2808.2463064034987,963.6938901717906,1036.5929965522018,95.15155882386932,54.03440862615352,557.1753396974203,0.0,327.02512830441077,5841.919628579345,0.5841919628579345,0.4807060837785638,0.16496185354164902,0.17744047546992417,0.016287721309683364,0.00924942691128631,0.0953753860240826,0.0,0.05597905296481076,True
g0088,10000.0,2772.439282530991,890.6856978040848,361.2882241242205,668.0202686173891,528.8951242156062,500.2855670155509,373.668017787161,113.95499473827073,6209.237176833275,0.6209237176833275,0.44650239692485727,0.14344526911087274,0.05818560538679218,0.10758491737274577,0.08517876015252229,0.08057118012533347,0.060179375846894693,0.018352495079981473,True
g0089,10000.0,308.77861986655506,910.1889533022829,226.770505191557,201.22233731166543,131.9174622977108,15.512291060729453,511.4887729642308,118.61940855074855,2424.49835054548,0.242449835054548,0.1273577355897495,0.37541331100411035,0.09353295915443152,0.08299545234435529,0.054410209133790965,0.006398144612983297,0.2109668471620748,0.04892534099850418,True
g0090,10000.0,473.7426970134604,267.8121913080616,136.12380678412342,335.5189525149862,133.51302024422526,0.0,168.50392022067655,78.2689287530272,1593.4835168385607,0.15934835168385608,0.2973000297821444,0.16806712368095003,0.08542529956895338,0.21055690188791476,0.08378688504360084,0.0,0.10574563115342726,0.049118128883009204,True
g0091,10000.0,1296.6211098822027,400.99736429781,304.18263324559314,542.7832670068422,300.89206856885863,17.315360391552336,256.20843987618343,216.6999911298201,3335.7002343988634,0.33357002343988634,0.3887103213025588,0.12021384900315389,0.09119003863379553,0.16271943785879753,0.09020356969309123,0.005190922197681468,0.07680799288679353,0.06496386842412782,True
g0092,10000.0,1425.6405960859847,807.8994611701962,472.76661121136055,619.100499965956,550.5799255289742,479.85430884922863,329.4127014787642,323.3768194004391,5008.630923690904,0.5008630923690903,0.2846367835455158,0.1613014561222347,0.09439038699680725,0.12360673193898174,0.10992623212158084,0.09580548380586602,0.06576901083300765,0.06456391463600594,True
g0093,10000.0,1124.2123899773262,951.1878493346868,787.953593427461,656.2664694806288,414.2018591455884,97.14933262998716,384.39498946452164,174.0383470472973,4589.4048305074975,0.45894048305074975,0.24495820950556904,0.20725734261048054,0.1716897119621345,0.14299598612834916,0.09025175909351754,0.02116817675010909,0.08375704555616968,0.03792176839367036,True
g0094,10000.0,721.1838017745167,1065.7843130343567,1125.7351152220035,751.0111336627931,222.8638361871275,112.69311872970671,297.73879522503006,238.6208923485333,4535.631006184067,0.45356310061840666,0.1590040725956818,0.23498038345297984,0.24819812583676443,0.16558029800899443,0.04913623614515064,0.024846183160855954,0.06564440423373963,0.05261029656583344,True
g0095,10000.0,1354.0197085672817,993.7088692781338,1659.929289905392,1324.7038647862396,228.6210522532623,334.9069175583769,243.02089752014822,322.5413406402198,6461.451940509054,0.6461451940509054,0.20955347513744838,0.15379033666539135,0.25689725857105383,0.20501643856254934,0.03538230329006375,0.05183152651167005,0.037610880612849104,0.04991778064897422,True
g0096,5046.68434251973,609.9514059360607,229.003644005664,438.24553920967156,265.40657931709075,195.91156772082576,183.6739338262903,190.62623256119696,55.95083547000315,2168.7697380468035,0.4297415076616365,0.28124304541679174,0.1055914973306041,0.20207103203328353,0.12237655969698112,0.09033304194721195,0.08469038026678999,0.08789602197828303,0.0257984213300544,True
g0097,549.3786916271757,143.30438328837158,32.99172398286041,70.47046706520864,0.5345904176624012,0.0,0.0,0.0,0.0,247.301164754103,0.45014699063342767,0.5794731433265278,0.13340707074980743,0.28495808798668204,0.0021616979369828535,0.0,0.0,0.0,0.0,False
g0098,6446.126247100841,1752.0089973573843,463.696954480796,430.1289734825788,215.08018433276837,16.718149177884946,299.4669688804245,0.0,162.02391070674238,3339.124138418579,0.5180047691309734,0.5246911838944514,0.13886783936712355,0.12881490943499013,0.06441215582797442,0.005006746824873279,0.08968428739587174,0.0,0.048522877254715505,True
g0099,10000.0,3273.7434022982598,677.6630510332355,888.6348906801238,368.08436880863474,8.795058961669847,241.1351956539901,5.026345609532072,412.98520061289054,5876.067513658337,0.5876067513658336,0.5571316862321216,0.11532594706546086,0.15122952359117386,0.0626412763218018,0.0014967593447874116,0.041036832046857055,0.000855392760183376,0.0702825826376139,True
g0100,10000.0,2178.1440566470337,576.6751194351043,294.9926921064168,583.8413758306475,203.91656443637123,94.36031548103534,337.9766134028207,145.29990338732185,4415.206640726752,0.4415206640726752,0.49332777237545256,0.13061112794036348,0.06681288467573522,0.13223421310458666,0.04618505565637719,0.0213716646035628,0.07654831152980623,0.0329089701141157,True
